pid,label,apellido,numero,nombre,nombre_completo,seudonimo,anno,fecha,publicacion,numero,volumen,inicio,final,ubicacion,tipo,extension,formato,categoria,publico,notas
josegomezpesca,Una enredada enfadosa o la pesca aparatosa,GÓMEZ,137,José,José Gómez,Lápiz,1932,1932-10-22,Cromos,836,34,7,,BNC,Secuencia gráfica,1,Página,Sátira política,General,
josegomezjinete,Maniobras militares del Perú o un Jinete rival de Belcebú,GÓMEZ,139,José,José Gómez,Lápiz,1932,1932-11-12,Cromos,839,34,7,,BNC,Secuencia gráfica,1,Página,Sátira política,General,Actualidad internacional
ricardorendonaviador,El aviador Knox Martin,RENDÓN,141,Ricardo,Ricardo Rendón,,1919,1919-10-04,Cromos,192,8,211,,BNC,Secuencia gráfica,0.5,Ilustraciones,Sátira política,General,Actualidad internacional
ricardorendonveraneo,La temporada de veraneo,RENDÓN,143,Ricardo,Ricardo Rendón,,1920,1920-01-31,Cromos,196,9,7,,BNC,Protocómic,1,Página,Vida cotidiana,General,
ricardorendonhipodromo,En el hipódromo de la Merced,RENDÓN,144,Ricardo,Ricardo Rendón,,1920,1920-02-28,Cromos,199,9,101,,BNC,Protocómic,1,Página,Informativos,General,"Sección ""Nota Cómica"""
rinaldoscandrogliorenacuajo,El renacuajo paseador,SCANDROGLIO,146,Rinaldo,Rinaldo Scandroglio,,1933,1933-11-04,Cromos,889,36,9,,BNC,Secuencia gráfica,1,Página,Literario,Infantil,Publicación especial dedicada a Rafael Pombo
rinaldoscandrogliosimon,Simón el bobito,SCANDROGLIO,147,Rinaldo,Rinaldo Scandroglio,,1933,1933-11-04,Cromos,889,36,9,,BNC,Secuencia gráfica,1,Página,Literario,Infantil,Publicación especial dedicada a Rafael Pombo
rinaldoscandroglioviejecita,La pobre viejecita,SCANDROGLIO,148,Rinaldo,Rinaldo Scandroglio,,1933,1933-11-04,Cromos,889,36,9,,BNC,Secuencia gráfica,1,Página,Literario,Infantil,Publicación especial dedicada a Rafael Pombo
rinaldoscandrogliogato,El gato bandido,SCANDROGLIO,149,Rinaldo,Rinaldo Scandroglio,,1933,1933-11-04,Cromos,889,36,9,,BNC,Secuencia gráfica,1,Página,Literario,Infantil,Publicación especial dedicada a Rafael Pombo
ernestofrancocopetin,Copetín,FRANCO,494,Enresto,Ernesto Franco,,1962,1962-04-16,El Tiempo,,,,,BNC,Personaje,0.1,Tira,Vida cotidiana,General,Primera aparición del personaje
victoriafrancopirulita,Pirulita,FRANCO,535,Victoria,Victoria Franco,,1963,1963-07-29,El Tiempo,,,,,BNC,Personaje,0.1,Tira,Vida cotidiana,General,Primera aparición del personaje
josegomezescenasdelajirapresidencial,Escenas de la jira presidencial,GÓMEZ,253,José,José Gómez,Lápiz,1919,1919-03-15,Bogotá Cómico,81,,8,,BNC,Personaje,1,Texto e imagen separados,Sátira política,General,
adolfosampermojicon,Mojicón,SAMPER,76,Adolfo,Adolfo Samper,,1928,1928-02-04,Mundo al día,100,,,,BNC,Personaje,1,Página,Vida cotidiana,Infantil,Edición a color - Tira Incalcable